"","DRUG_ID","SCREENING_SITE","DRUG_NAME","SYNONYMS","TARGET","TARGET_PATHWAY","drug_name","subtype","value","comparison","comparison_b","comparison_c"
"25",1058,"SANGER","Pictilisib","GDC-0941, GDC0941, RG-7621","PI3K (class 1)","PI3K/MTOR signaling","GDC.0941..GDSC2.1058.","STAD_EBV",-0.277741803755286,"Favourable","Favourable",NA
"26",1058,"SANGER","Pictilisib","GDC-0941, GDC0941, RG-7621","PI3K (class 1)","PI3K/MTOR signaling","GDC.0941..GDSC2.1058.","STAD_GS",0.291536622142309,"Unfavourable","Unfavourable",NA
"27",1058,"SANGER","Pictilisib","GDC-0941, GDC0941, RG-7621","PI3K (class 1)","PI3K/MTOR signaling","GDC.0941..GDSC2.1058.","MSS_TP53neg",0.140200872720091,"Favourable",NA,"Favourable"
"28",1084,"SANGER","Rapamycin","AY-22989, Sirolimus, WY-090217, Torisel, Rapamune","MTORC1","PI3K/MTOR signaling","WY.090217..GDSC2.1084.","STAD_MSI",-0.298476818359771,"Favourable","Favourable",NA
"29",1084,"SANGER","Rapamycin","AY-22989, Sirolimus, WY-090217, Torisel, Rapamune","MTORC1","PI3K/MTOR signaling","WY.090217..GDSC2.1084.","MSI",-0.143269978474064,"Unfavourable","Unfavourable","Unfavourable"
"30",1084,"SANGER","Rapamycin","AY-22989, Sirolimus, WY-090217, Torisel, Rapamune","MTORC1","PI3K/MTOR signaling","WY.090217..GDSC2.1084.","MSS_TP53pos",0.0353292663329229,"Unfavourable","Unfavourable",NA
"31",1084,"SANGER","Rapamycin","AY-22989, Sirolimus, WY-090217, Torisel, Rapamune","MTORC1","PI3K/MTOR signaling","WY.090217..GDSC2.1084.","STAD_EBV",-0.438700501614693,"Favourable","Favourable",NA
"32",1084,"SANGER","Rapamycin","AY-22989, Sirolimus, WY-090217, Torisel, Rapamune","MTORC1","PI3K/MTOR signaling","WY.090217..GDSC2.1084.","MSS_TP53neg",-0.137786210210305,"Favourable",NA,"Favourable"
"33",1084,"SANGER","Rapamycin","AY-22989, Sirolimus, WY-090217, Torisel, Rapamune","MTORC1","PI3K/MTOR signaling","WY.090217..GDSC2.1084.","STAD_CIN",0.379461073500191,"Unfavourable","Unfavourable","Unfavourable"
"34",1084,"SANGER","Rapamycin","AY-22989, Sirolimus, WY-090217, Torisel, Rapamune","MTORC1","PI3K/MTOR signaling","WY.090217..GDSC2.1084.","High_cal",0.239173496111617,"Unfavourable","Unfavourable",NA
"35",1084,"SANGER","Rapamycin","AY-22989, Sirolimus, WY-090217, Torisel, Rapamune","MTORC1","PI3K/MTOR signaling","WY.090217..GDSC2.1084.","STAD_GS",0.0126729652565027,"Unfavourable","Unfavourable",NA
"36",1084,"SANGER","Rapamycin","AY-22989, Sirolimus, WY-090217, Torisel, Rapamune","MTORC1","PI3K/MTOR signaling","WY.090217..GDSC2.1084.","EMT",0.234265574015162,"Favourable","Favourable",NA
"37",1553,"SANGER","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","uprosertib..GDSC2.1553.","MSS_TP53pos",0.0698850120234126,"Unfavourable","Unfavourable",NA
"38",1553,"SANGER","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","uprosertib..GDSC2.1553.","STAD_MSI",-0.285686636320135,"Favourable","Favourable",NA
"39",1553,"SANGER","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","uprosertib..GDSC2.1553.","MSI",0.0663220537099431,"Unfavourable","Unfavourable","Unfavourable"
"40",1553,"SANGER","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","uprosertib..GDSC2.1553.","EMT",-0.0972518107380123,"Favourable","Favourable",NA
"41",1553,"SANGER","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","uprosertib..GDSC2.1553.","MSS_TP53neg",-0.0704259713118433,"Favourable",NA,"Favourable"
"42",1553,"SANGER","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","uprosertib..GDSC2.1553.","STAD_EBV",-0.15898913190107,"Favourable","Favourable",NA
"43",1553,"SANGER","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","uprosertib..GDSC2.1553.","High_cal",0.151914693643359,"Unfavourable","Unfavourable",NA
"44",1553,"SANGER","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","uprosertib..GDSC2.1553.","STAD_GS",0.252104260353625,"Unfavourable","Unfavourable",NA
"45",1553,"SANGER","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","uprosertib..GDSC2.1553.","STAD_CIN",0.183781796032702,"Unfavourable","Unfavourable","Unfavourable"
"46",1560,"SANGER","Alpelisib","BYL719, BYL-719, NVP-BYL719","PI3Kalpha","PI3K/MTOR signaling","alpelisib..GDSC2.1560.","STAD_MSI",0.0991768378591328,"Favourable","Favourable",NA
"47",1560,"SANGER","Alpelisib","BYL719, BYL-719, NVP-BYL719","PI3Kalpha","PI3K/MTOR signaling","alpelisib..GDSC2.1560.","EMT",-0.46608523704356,"Favourable","Favourable",NA
"48",1560,"SANGER","Alpelisib","BYL719, BYL-719, NVP-BYL719","PI3Kalpha","PI3K/MTOR signaling","alpelisib..GDSC2.1560.","High_cal",0.322232351496285,"Unfavourable","Unfavourable",NA
"49",1560,"SANGER","Alpelisib","BYL719, BYL-719, NVP-BYL719","PI3Kalpha","PI3K/MTOR signaling","alpelisib..GDSC2.1560.","MSS_TP53pos",0.211065373755029,"Unfavourable","Unfavourable",NA
"50",1560,"SANGER","Alpelisib","BYL719, BYL-719, NVP-BYL719","PI3Kalpha","PI3K/MTOR signaling","alpelisib..GDSC2.1560.","MSI",0.123477908962075,"Unfavourable","Unfavourable","Unfavourable"
"51",1560,"SANGER","Alpelisib","BYL719, BYL-719, NVP-BYL719","PI3Kalpha","PI3K/MTOR signaling","alpelisib..GDSC2.1560.","STAD_GS",0.17842883106195,"Unfavourable","Unfavourable",NA
"52",1560,"SANGER","Alpelisib","BYL719, BYL-719, NVP-BYL719","PI3Kalpha","PI3K/MTOR signaling","alpelisib..GDSC2.1560.","STAD_EBV",-0.249751102954258,"Favourable","Favourable",NA
"53",1560,"SANGER","Alpelisib","BYL719, BYL-719, NVP-BYL719","PI3Kalpha","PI3K/MTOR signaling","alpelisib..GDSC2.1560.","MSS_TP53neg",-0.00797027371929658,"Favourable",NA,"Favourable"
"54",1560,"SANGER","Alpelisib","BYL719, BYL-719, NVP-BYL719","PI3Kalpha","PI3K/MTOR signaling","alpelisib..GDSC2.1560.","STAD_CIN",-0.0832728972621276,"Unfavourable","Unfavourable","Unfavourable"
"55",1561,"SANGER","Taselisib","GDC-0032, GDC0032, RG7604","PI3K (beta sparing)","PI3K/MTOR signaling","taselisib..GDSC2.1561.","MSI",0.0353767097005781,"Unfavourable","Unfavourable","Unfavourable"
