"","DRUG_ID","SCREENING_SITE","DRUG_NAME","SYNONYMS","TARGET","TARGET_PATHWAY","drug_name","subtype","value","comparison"
"57",1622,"SANGER","Wnt-C59","AOB3540, AK161197","PORCN","WNT signaling","wnt.c59..GDSC2.1622.","STAD_CIN",-0.563751763520955,"Not significant"
"58",1629,"SANGER","ML323","GTPL7898, AOB2313,","USP1, UAF1","Protein stability and degradation","ML323..GDSC2.1629.","STAD_CIN",-0.363327864500145,"Not significant"
"59",1631,"SANGER","PRT062607","P505-15, PRT-2607, BIIB-057","SYK","Other, kinases","PRT062607..GDSC2.1631.","STAD_CIN",-0.339068275809789,"Not significant"
"60",1806,"SANGER","Oxaliplatin","","DNA alkylating agent","DNA replication","oxaliplatin..GDSC2.1806.","STAD_CIN",0.00612061338667046,"Unfavourable"
"61",1808,"SANGER","Topotecan","","","DNA replication","topotecan..GDSC2.1808.","STAD_CIN",0.0972006603480977,"Unfavourable"
"62",1809,"SANGER","Teniposide","Vumon","","DNA replication","teniposide..GDSC2.1809.","STAD_CIN",-0.0428703188881255,"Unfavourable"
"63",1810,"SANGER","Mitoxantrone","","","DNA replication","mitoxantrone..GDSC2.1810.","STAD_CIN",0.0834453829271173,"Unfavourable"
"64",1811,"SANGER","Dactinomycin","Actinomycin D","","Other","dactinomycin..GDSC2.1811.","STAD_CIN",-0.0923640208346358,"Unfavourable"
"65",1818,"SANGER","Vincristine","","","Mitosis","vincristine..GDSC2.1818.","STAD_CIN",0.0998840195794517,"Unfavourable"
"66",1849,"SANGER","Sabutoclax","BI-97C1","BCL2,  BCL-XL,  BFL1, MCL1","Apoptosis regulation","BI.97C1..GDSC2.1849.","STAD_CIN",0.264712756024662,"Not significant"
"67",1855,"SANGER","KRAS (G12C) Inhibitor-12","GTPL8020","KRAS (G12C)","ERK MAPK signaling","GTPL8020..GDSC2.1855.","STAD_CIN",-0.254938493049724,"Not significant"
"68",1873,"SANGER","Buparlisib","BKM120, NVP-BKM120","PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma","PI3K/MTOR signaling","buparlisib..GDSC2.1873.","STAD_CIN",0.159304357089641,"Unfavourable"
"69",1908,"SANGER","Ulixertinib","BVD-523, VRT752271","ERK1, ERK2","ERK MAPK signaling","BVD.523..GDSC2.1908.","STAD_CIN",0.0332324363539231,"Not significant"
"70",1909,"SANGER","Venetoclax","ABT-199, Veneclexta, GDC-0199","BCL2","Apoptosis regulation","venetoclax..GDSC2.1909.","STAD_CIN",0.0215410551477465,"Not significant"
"71",1910,"SANGER","ABT737","","BCL2, BCL-XL,  BCL-W, BCL-B, BFL1","Apoptosis regulation","ABT737..GDSC2.1910.","STAD_CIN",-0.168431130142194,"Not significant"
"72",1911,"SANGER","Dactinomycin","Actinomycin D, Cosmegen, Lyovac, Meractinomycin, Ac-De, ActD","RNA polymerase","Other","dactinomycin..GDSC2.1911.","STAD_CIN",0.236148633465369,"Unfavourable"
"73",1912,"SANGER","Afuresertib","GSK2110183, GSK2110183C","AKT1, AKT2, AKT3","PI3K/MTOR signaling","GSK2110183C..GDSC2.1912.","STAD_CIN",0.0855619455004051,"Unfavourable"
"74",1915,"SANGER","AZD3759","","EGFR","EGFR signaling","AZD3759..GDSC2.1915.","STAD_CIN",-0.243859281710764,"Favourable"
"75",1916,"SANGER","AZD5363","","AKT1, AKT2, AKT3, ROCK2","Other, kinases","AZD5363..GDSC2.1916.","STAD_CIN",0.211222048521431,"Not significant"
"76",1917,"SANGER","AZD6738","AZD 6738, AZD-6738","ATR","Genome integrity","AZD6738..GDSC2.1917.","STAD_CIN",-0.14539036495056,"Unfavourable"
"77",1918,"SANGER","AZD8186","AZD 8186, AZD-8186","PI3Kalpha, PI3Kbeta","PI3K/MTOR signaling","AZD8186..GDSC2.1918.","STAD_CIN",0.094641988145242,"Unfavourable"
"78",1919,"SANGER","Osimertinib","AZD9291, AZD 9291, AZD-9291, Tagrisso, Mereletinib","EGFR","EGFR signaling","osimertinib..GDSC2.1919.","STAD_CIN",-0.397540521841877,"Favourable"
"79",1924,"SANGER","Ipatasertib","GDC0068, GDC 0068, GDC-0068","AKT1, AKT, AKT3","PI3K/MTOR signaling","GDC.0068..GDSC2.1924.","STAD_CIN",0.055994816533322,"Unfavourable"
"80",1926,"SANGER","GNE-317","GNE317, GNE 317","PI3Kalpha","PI3K/MTOR signaling","GNE317..GDSC2.1926.","STAD_CIN",0.0188431392116898,"Unfavourable"
"81",1927,"SANGER","GSK2578215A","GSK 2578215A,  GSK-2578215A","LRRK2","Other, kinases","GSK2578215A..GDSC2.1927.","STAD_CIN",0.131037929881529,"Not significant"
"82",1930,"SANGER","Telomerase Inhibitor IX","MST-312, MST 312, MST312","Telomerase","Genome integrity","MST.312..GDSC2.1930.","STAD_CIN",0.269813008542195,"Unfavourable"
"83",1932,"SANGER","NVP-ADW742","NVP ADW742, NVPADW742","IGF1R","IGF1R signaling","NVP.ADW742..GDSC2.1932.","STAD_CIN",-0.106947163371108,"Not significant"
"84",1933,"SANGER","P22077","P 22077, P-22077","USP7, USP47","Protein stability and degradation","P22077..GDSC2.1933.","STAD_CIN",-0.231146968836662,"Not significant"
"85",1939,"SANGER","UMI-77","UMI 77, UMI-77","MCL1","Apoptosis regulation","UMI.77..GDSC2.1939.","STAD_CIN",-0.0775740705466853,"Not significant"
"86",1940,"SANGER","WIKI4","WIKI-4, WIKI 4","TNKS1, TNKS2","WNT signaling","WIKI4..GDSC2.1940.","STAD_CIN",-0.204021347833762,"Not significant"
"87",1941,"SANGER","Sepantronium bromide","YM155, YM-155, YM 155","BIRC5","Apoptosis regulation","YM.155..GDSC2.1941.","STAD_CIN",-0.40126813311753,"Not significant"
"88",1996,"SANGER","MIM1","MIM 1, MIM-1","MCL1","Apoptosis regulation","MIM.1..GDSC2.1996.","STAD_CIN",-0.393025771643141,"Not significant"
"89",1997,"SANGER","WEHI-539","WEHI539, WEHI-539","BCL-XL","Apoptosis regulation","WEHI.539..GDSC2.1997.","STAD_CIN",-0.375330236021567,"Not significant"
"90",2044,"SANGER","Pyridostatin","","G-quadruplex stabiliser","DNA replication","Pyridostatin..GDSC2.2044.","STAD_CIN",0.254564359138707,"Unfavourable"
"91",2046,"SANGER","MK-8776","SCH900776","CHEK1, CHEK2, CDK2","Cell cycle","SCH900776..GDSC2.2046.","STAD_CIN",0.103303615165672,"Not significant"
"92",2047,"SANGER","Ulixertinib","BVD-523, VRT752271","ERK1, ERK2","ERK MAPK signaling","BVD.523..GDSC2.2047.","STAD_CIN",-0.156547661780718,"Not significant"
"93",2048,"SANGER","Vinorelbine","vinorelbine tartrate, Navelbine, Exelbine","Microtubule destabiliser","Mitosis","vinorelbine..GDSC2.2048.","STAD_CIN",0.251637031056429,"Unfavourable"
"94",2096,"SANGER","VX-11e","VX11e, VX11e","ERK2","ERK MAPK signaling","VX.11e..GDSC2.2096.","STAD_CIN",0.0549984810455488,"Not significant"
"95",2106,"SANGER","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","uprosertib..GDSC2.2106.","STAD_CIN",0.0699116912783031,"Unfavourable"
"96",2109,"SANGER","AZ6102","","TNKS1, TNKS2","WNT signaling","AZ6102..GDSC2.2109.","STAD_CIN",-0.209731719858893,"Not significant"
"97",2111,"SANGER","VE821","VE 821, VE-821","ATR","Genome integrity","VE.821..GDSC2.2111.","STAD_CIN",0.181909335997663,"Unfavourable"
