"","Model","Metric","N","Value","sd","se","ci"
"1","L2 Binomial Calibration","SKCE",10,0.00110251195148637,0.000609831643111761,0.00019284569814761,0.000436247277379436
"2","Uncalibrated","SKCE",10,0.0020233527545271,0.000813851043087016,0.00025736229722588,0.000582193964103726
