"","Model","Metric","N","Value","sd","se","ci"
"1","L2 Dirichlet Calibration","SKCE",10,0.00103391086896712,0.00178386968007806,0.000564109123796256,0.00127610349499552
"2","Penalized Multinomial Logistic","SKCE",10,0.00305200764123179,0.0030889774017214,0.000976820423022855,0.00220972131670872
"3","Uncalibrated","SKCE",10,0.000925180353140451,0.00159274396706177,0.000503669866540739,0.00113938039628075
