"","Model","Metric","N","Value","sd","se","ci"
"1","L2 Dirichlet Calibration","SKCE",10,0.006091270450632,0.00782731480167319,0.00247521427364364,0.00559932369858332
"2","Penalized Multinomial Logistic","SKCE",10,0.00831051576655479,0.00623791739629948,0.00197260268282935,0.00446233728831738
"3","Uncalibrated","SKCE",10,0.00312915898001918,0.00375815025747178,0.00118843146027591,0.00268841874035787
