"","ABCB6","ATP5F1A","BCL2A1","C22orf15","CBR4","CDKN2A","CHMP7","CKS1B","CLDN3","COX18","DDB2","DDX27","DENND2A","F12","FAH","FAS","GGT7","GMNN","H4C14","HSD17B12","HYLS1","ITGB7","JAK2","KNOP1","LCNL1","LTA","LYN","MCUR1","ME2","MLH1","MLYCD","MOB3A","NCK2","NFE2L3","NMNAT3","OSER1","PARD6B","PGAM1","PGGT1B","PLEKHB1","POU2F1","PPP1R3D","PREPL","RELL2","SCNN1A","SCO1","SLC35A1","SLC6A8","SMAP1","ST7L","STIL","STIP1","TNFSF9","TP53I13","TTC30A","TXNDC9","YBEY"
"TCGA.3M.AB46.01",9.0560794255485,12.070665615373,5.82720403064505,1.49307057103398,7.56162965785634,9.42043622004481,8.72632706421918,11.6570825693128,11.4853708361117,7.76327504648487,9.28545066693881,11.6894247530657,6.2419852807356,7.53779231822071,7.359349726001,7.80941882723865,7.13138704280048,10.3757432035879,9.14495219487898,11.9069948648787,7.98046134331113,6.181613334423,8.62718559810418,9.93492883323656,1.11386791940965,2.26730842939209,9.62046882876368,9.95833338794468,9.06473939172261,9.41395534133559,5.91789594946812,9.26351173493762,10.3406289480705,10.9919988556877,7.43222292304449,10.2456798420164,10.0999272287088,11.7868384515985,8.99183310867183,10.1589309859329,8.2963789687913,9.10165638834412,10.2981774722561,4.76094501734282,9.90440163823759,8.10641913852232,10.1739887260307,8.60703869415506,11.3182814576979,7.800971631781,10.3871817887108,11.8086485637261,7.63605181781332,9.39796114982532,8.44369443167662,9.22795946174741,6.3258193965665
"TCGA.3M.AB47.01",7.47582802570316,13.7821984675265,5.66306981159895,2.80151965725952,9.72382438422423,4.45984138813006,10.1088695606858,9.62240255932917,10.3509745613858,9.09360584830004,8.71510229997195,10.2679341731004,7.5743521235435,7.74810383658561,5.81651120000849,8.28366091429482,6.55731124262678,8.04827505991345,6.56438723096026,10.6304541617275,7.56201832116323,7.25077805866778,10.2621410308444,8.52920617595004,1.75632517221335,3.77780706960727,11.1701123160944,8.11280094744572,11.1973395387695,9.15457324495442,8.24325242776408,10.1062662735243,10.3489707488933,8.89665744841657,6.87083738248495,9.57608502629996,7.81346720416874,12.3830978567856,9.50064743417443,7.62075186664899,7.23243660653563,7.26470186887209,10.4870718896266,4.086902542465,10.4883783218612,9.16089316461589,8.71911824387172,10.5440784541979,10.555063455764,9.47588133123632,9.12364720286829,11.2262573012868,7.57700852410361,8.0441376438569,6.96884121456019,9.82034132940291,7.64061884372043
"TCGA.B7.5816.01",8.09092703015039,13.421641776068,9.4915545542057,0.910973403828747,7.52679204267254,5.42918379591223,10.7349949357546,9.9609129765571,6.97031046896233,8.32465902743975,9.04298435163331,10.2823188926799,6.28836294583139,7.41459631485689,7.45438473565471,8.84808292249091,6.58197669192708,8.66561099655724,8.13050953950424,10.6464465256785,6.24683609295752,7.94048080263946,10.4529026000206,8.90979939853095,0.151874242184045,5.1944933668714,11.4013858571297,7.59936036641151,9.67980569205241,7.66882146245852,8.27424497277632,9.83792075903503,9.75143466049784,10.9260094846114,6.92431888210057,8.99331654140646,9.07041409287028,12.8585633377202,9.32916369511997,6.17384777222845,6.13852840860324,7.37065688149803,9.88147959882374,6.17747693109357,4.91577616826538,9.73210925936929,9.61752393683792,10.1597593003484,8.67915634704603,6.47373910142134,9.21450394442694,12.5262461119809,8.42346215113125,7.80352628323445,7.00447861005767,8.57579481114324,6.33657764728655
"TCGA.B7.5818.01",6.05189443287152,12.4160465938643,8.12367797902902,0.94804710813736,7.81013147621191,3.66819053700444,10.1429581839417,10.3067000877207,0.538194620268554,8.47104878295451,9.30065737084663,10.3413546001782,4.68046372379358,3.24618866781041,7.27760130664858,7.29977673665733,8.90576106885672,8.73584675528945,7.58232779333098,10.200932899588,5.08556659062726,7.41471344344311,9.40864342223938,9.0180296864265,1.35964217969201,5.38524873632571,10.2663281862093,7.71810280836908,8.76167758439248,9.30718580207379,5.3210890998196,9.68861298872742,11.4604660801239,10.3139819212719,1.95351025954068,9.53903893154946,8.02713409750584,12.4229374625328,8.69277971445584,9.79668253818181,6.3899965289177,6.1786036133146,9.4022433021938,4.37352003614037,6.28654957123516,8.67241173319129,8.76263292722617,5.84293231266885,10.1480091571641,7.24773086735222,9.20795370990738,12.3518877636282,6.25321519770563,9.41326357100094,5.751337599008,8.83131482212776,7.70644940349463
"TCGA.B7.A5TI.01",10.233257110939,12.895545261137,5.9268875626612,2.89169965799517,8.17894111944926,7.43553402075907,9.36922907814179,10.6237175144725,8.65684747526584,9.01387490229698,9.62258184367131,9.70050253331095,6.87307842388143,8.21236619460486,9.48273772349341,7.76588672101379,6.11226282313729,9.54344869289261,7.74908852873308,10.8429703600144,6.64634373916619,7.08969020678983,9.00302117915199,9.18450538673397,0.151874242184045,3.09867175266519,11.195854415145,8.99389328265923,9.54599143193126,7.80508960685431,7.68807924257515,9.19744696130328,10.7817738337957,10.1433228108725,6.76894060432296,9.20741197733343,9.89241828354497,11.7787906450991,8.98318640394496,5.0902362377161,5.2947661178117,7.55326501302605,10.5485911233205,4.56627690949759,9.51782108790632,9.5112934773933,9.23582708901746,10.2144475562315,7.83140728133697,7.95979132377798,9.22294998002452,11.9672237261906,4.57232369120221,8.32810873007717,7.87408150755063,9.21143793456553,7.34953088447569
"TCGA.B7.A5TJ.01",9.89549074433598,12.9100876204043,5.39169206170271,1.05949244550283,8.29441543464345,6.39527048516973,9.86269387771021,10.3100831472143,11.3198985289744,8.56414194907337,8.09703342507296,11.6234700493274,6.32953426970425,8.80670593625124,8.22595635005502,6.0955360290203,8.71468173437104,8.97965113755152,7.23784463372343,9.70302572263955,6.82247536487588,6.18060721950049,8.4971444512542,9.69581011052605,1.67252277796473,1.70397943908021,9.16772048546682,9.729937240884,9.61580840385229,6.04098038985342,8.52850065407146,9.01141873056669,11.2702539509036,10.684451281538,7.06642264379725,10.2602986226183,9.94365945296398,11.4001168841052,8.2837135445595,9.72151119092551,6.21620229593374,8.70152433283604,10.8540873225262,7.61240945709821,12.5364179497575,8.66211061490498,9.46880512836761,9.49065495708107,9.98944002669305,7.743657840321,8.22494144598927,11.8699187480721,5.3843210494197,8.78866937711494,4.85284274318183,9.56756117703016,7.51711342735481
"TCGA.B7.A5TK.01",7.53904804200488,12.3908123726758,8.63239117092549,-0.259720829140179,8.21609612767925,3.82860061032416,10.0994661670374,10.3871195259457,1.00057640669485,8.50607569692294,8.6973800717682,10.66007507442,5.03104225483095,5.09080088288322,6.49277466706399,9.94213050778555,5.69786079667932,8.33081544502279,6.29731212843616,10.2362057525748,6.21379875732714,9.28772774336192,11.6333816413841,8.54421811769582,0.151874242184045,6.06417650292238,11.7432260558575,8.28605614233079,10.2039535434872,9.31062916444788,7.08456807377986,10.450764220391,10.027791441483,11.412182646101,3.8451546844779,9.50649464818225,8.96539546750832,12.0418589212977,9.27358182165274,6.21668143428883,6.98770046036774,7.49248879604069,9.52613828587363,4.8178788727526,5.13891076083269,9.10340472309069,9.12618649544893,7.9999341631384,10.5901689174495,7.44285458661271,8.42776827245176,11.6003123975771,8.1634949604999,7.48189473920701,6.06441534536735,10.1057579380747,6.30067973314422
"TCGA.B7.A5TN.01",7.83625139528334,12.5165458121435,6.3194849890517,1.65396326644139,7.89976458030725,10.480571826769,9.58074055612794,9.82228006633719,9.79621798209455,7.95206317900427,8.38350122317546,11.2562821260879,6.39496228443317,7.01034692278278,8.47141046125022,8.43370237044383,8.44370587354214,8.97351060677848,8.22291284941283,11.9351685940756,6.12926164325961,6.49427587583163,9.39651755628526,9.58392159822708,0.53868518886234,2.84469454147803,10.2078240319144,8.94999912687436,9.46420358785519,8.54255882690614,7.51888687025331,9.6796710645019,11.0993821032644,10.3198768957328,6.74997290228637,9.35770898878763,9.85032156609816,11.7571551030719,8.2655869733113,10.9752900185248,6.27294878754345,7.78096646520439,10.3519660369839,6.74377078030953,8.58991990052868,8.33893492430082,10.037010245712,11.5506076095741,10.3662980051827,7.41975248557866,8.41312683463891,12.0339210528261,5.42589492913249,9.57089276324204,7.21283346053978,9.42668119960115,6.49602428305222
"TCGA.BR.4187.01",8.56945322215993,13.4093009253366,7.84518423618397,1.1300662243239,8.70350641749259,4.76699545459499,10.0397954770167,8.99665967462683,9.75420842861767,8.54784484809522,9.36011400910153,10.3884185948214,7.93519021564449,6.52413816377081,8.23871210285555,9.90413604969834,8.09458745273889,8.06112386180038,7.41282668843688,11.7487099873904,7.28505065506028,7.04187263061745,9.38591483701679,9.44467081626404,1.74904782646357,3.63225990950794,10.8554914026117,8.36980061783047,10.4738109235298,9.80382599901349,8.24289247049394,9.88691781014444,10.0255574056574,10.3725370751846,7.16321172657473,9.85539347433502,7.65382928206394,12.1950808218701,8.83532497539209,10.1064260356027,6.18992007240665,7.87689091585993,10.8625684474672,3.2039940630388,9.08635537194185,8.99950636789498,9.33624550233806,10.235022619242,10.1138041602397,9.44033466987342,7.76910864127784,11.4952763506712,7.16483371432826,7.5418364007775,7.22871932962871,9.61352122218181,6.74082210862177
"TCGA.BR.4191.01",8.39041901915481,13.6101867461593,8.36052893605298,3.08511699490764,8.18396685411902,6.35252523364649,9.48398908752126,9.90899822980085,8.24125747674524,8.99152740681822,8.92500481895657,10.6496811521018,7.63561961617094,5.51941197377389,9.09255422823983,9.09997706747306,9.0641488984982,9.75081270183848,7.52344388623848,11.610887645744,6.80173460489715,10.0660065709225,8.81508448833282,9.24182724586056,0.822681634239542,4.87780817955135,11.2908435659648,9.06865689762921,10.3094184970855,9.4119627871434,7.58142051550788,9.8208719250725,10.3269862554652,9.86473414471259,6.98848691039775,10.7279757641851,10.1332076576269,11.5214860230908,8.90408396670572,8.84823523023382,5.04723832872962,8.43244101802851,10.5642460739469,6.40323041001995,11.5466669816977,9.23580488162196,9.22298939450673,8.50544883503457,9.51300776933065,8.02302005725745,10.0551228203975,11.8315851163705,5.2582501200823,9.4380240131182,6.84832806473915,9.57475016524246,6.08127405867682
