"","ACTN1","AIF1","AIM2","AMPH","APOL3","ATL1","C3orf70","CGN","CHAF1A","CLIP3","CRYAB","EPS8L2","FBLN1","FBXO6","FERMT2","FGR","GASK1B","GZMB","HLA-DRA","ICAM3","IGFLR1","IRF1","LAG3","LHFPL6","MAMDC2","MFAP4","MYH11","NUB1","PBX1","PDZRN3","PLPP2","PPP1R14A","PRICKLE2","PRSS23","RBM39","RBPMS2","REEP1","RGS2","SGCE","SLC24A3","SMAD9","SRPX","TAP1","TIMP2","TPM1","TSPAN18","UBD","VIPR1","WARS1","ZCCHC24"
"GSM1523727",8.12503587209509,6.71282544134929,4.7354524366503,4.72085770483741,6.50070460314657,8.1311703527913,4.63101640790571,8.00817633049838,5.94980060494218,5.30531346995059,5.56830488459987,5.84257705489139,5.0523051552324,7.63905491972048,6.01989874765748,5.80197912095778,6.00591604492668,6.54676076022334,12.283524807756,8.66049522301024,6.3088332920854,8.45379448976351,4.7279230423997,5.89102428933911,4.63355258377435,6.09237078080927,5.4731254556396,5.26056944158828,7.29187050082681,4.85665065453259,9.32561035372373,4.73597117087087,4.55909953945011,6.65309409487738,7.6097055362948,5.52703361315634,4.74282706491175,9.26733130575468,6.11746743522303,5.75832271200546,4.85591944456911,4.63214300446948,10.5733971263474,7.86891609044306,8.36455711963225,4.69170459389716,10.8591969032411,6.4461138402818,8.33121684098919,6.66925063159037
"GSM1523728",8.08815235191599,7.57542286334032,7.08328788725556,4.37860813038232,8.04181163942208,7.05272956658782,5.25472962816377,7.99632437866977,6.05605613218918,5.26919259746082,6.24927071480066,5.90637203262915,5.60834273370229,9.08985516845003,7.29357151041952,6.79734935534518,7.18298220399329,8.88431911910931,12.4555167171811,8.5306097950037,7.27618428012545,9.49652389240006,5.43582361101832,6.66938512736705,3.58874290974559,5.87845546285446,5.36700048894818,5.30662769878375,6.75565714291156,5.54845137585588,8.83591294699148,4.79359448556866,5.5820627522163,6.98793892740349,8.0291025789659,5.53903571957835,4.49452288347099,11.3973550343109,6.90157037506208,6.4082593210206,4.78826042230596,6.81886460384256,11.0148573587661,8.87278351368861,8.54492706203937,5.23420577727908,12.7908833619686,5.90524913549194,9.98056269841626,6.93344424444827
"GSM1523729",8.21691106624081,7.39082878252563,5.68526465408769,4.69728029520615,6.82863650336583,6.71016712854091,6.72464574150182,8.58787508130053,5.82178798251248,5.4479562354446,6.11469633720925,5.57620312307614,6.31923485505015,7.64095724376812,7.09880787358996,6.36627448333066,7.06069982459791,6.19111573140907,11.4100403216998,8.45849273882268,6.68344976309636,8.22945052848656,4.8637321529419,7.04215423127005,6.06518853831395,6.65764805853493,6.1132843224869,5.15966648092637,7.16435274024956,5.47778392907918,8.78702039775711,5.81472150951048,5.48504436511563,6.99162638616764,8.03521720254776,6.07933153799965,4.94047533055096,11.1892575994495,7.37663534467671,7.09460747875286,5.08859375497939,6.68882155768273,9.95259987387296,8.58827005709224,8.18035713822491,5.50867266816294,9.57238148347875,6.14294057256304,8.55677519534584,7.53840103435971
"GSM1523744",8.24608406719222,7.26554535472775,6.10887026162778,4.44647627021126,6.6090248121116,6.47191625690199,4.11898864225689,7.66973006797341,6.06490679722193,5.2430815156189,5.95504017259254,5.80714267611889,5.28662193898699,8.84299860110923,6.76447850426978,5.70011974918991,6.91331503304788,7.23755875460713,12.3265109351257,9.33369448155771,6.68578073208992,8.06559651430519,5.29821769117499,6.39131480923544,3.03884343887753,6.12375187139085,5.02360295892165,5.14015473712888,6.91120142978034,5.2510672074651,8.36866039117776,4.56323580289499,4.95226480538605,7.15591189815358,8.25224686346851,5.79369078813453,4.31896557465807,10.4778023495694,6.94965282610842,6.50521314464688,4.30618727648949,5.71513206551243,10.0288112299073,8.61434459980618,8.13424529107094,4.95265511091078,10.866123264927,6.21147343223865,9.34848459400573,6.45549638634074
"GSM1523745",8.48571612371259,7.49226276865884,6.14125639730258,4.5710121952321,5.93006316833184,6.72964302502224,8.23523744037887,8.82701726291666,5.96750162686566,5.29157065259365,5.84353373610393,5.42161372661261,5.46109105669181,7.5221097034194,7.56425318501711,6.62916885510202,7.86353241261691,7.35751003242809,10.9770708886957,9.08993659533398,6.87617292661086,7.84657795616884,4.62011623592356,7.36905824597905,3.26162214411921,6.43605913432977,5.22048437922637,4.94495418189257,7.87298264175307,5.95329799788293,8.19689733718547,5.59754185279056,6.12764349664307,7.02666497129258,8.4856274677972,5.60660362379096,4.51132016790997,11.2775513363075,8.76733641257308,6.95941125330651,6.97228471257071,5.50687752580138,9.08338449213485,8.70992979926775,8.33869387587387,5.0584757284906,10.1323253977572,5.47262811004548,8.89004945704583,7.24419282845758
"GSM1523746",7.83753733954632,7.26593760609085,4.83706181991295,4.42262167981096,5.70300202898604,6.7355523451274,9.27869171278078,7.93879982484087,5.93906530557882,5.07740020400789,5.76859858055372,5.66416457480853,6.19092856232159,7.19533586972886,7.43361159805761,6.07488941355789,6.86598203559493,6.48637247123656,11.5685652113364,7.79619231742503,6.71001729943726,6.95644919943853,4.15492915901731,7.02543380701943,5.36865230415056,6.23498913011822,5.36132259279584,5.141067240508,8.02308351892625,5.43820591796521,7.94432015741093,5.83227839238384,4.97970807685693,6.9626458837008,8.90499514604094,6.93073418678789,7.89239495313476,11.9039558855313,7.814900323108,6.03346273978239,5.33447565204785,6.67533793245116,9.1294147817526,8.12842610535956,8.33039406412293,5.54348229143676,10.0753778653412,6.27500121940562,7.57068906587732,7.18636994115991
"GSM1523747",8.28359798822786,7.4265287174938,5.34019522675699,4.36535779889692,5.84731167625266,6.05716588776167,8.44791799075537,7.89685415592254,5.84029539794471,4.91944748786757,5.36505677807852,5.46136374757976,5.66995657829667,8.06236259388571,7.58359207695217,6.39987158409024,6.83201319807179,6.16346095224271,11.8395787474912,7.57367520526189,6.99703719260815,7.98581075645316,4.49074971824868,6.18262964624571,3.50635863076526,5.34741237236576,4.73033818119749,4.88277145352579,6.40344564655071,5.39385618491218,8.44928187624511,4.67254339399227,4.30526668721021,6.61214436095589,8.87500589588227,7.25234171540415,6.56640059810698,9.86293728240132,7.97704713847824,7.43221208082027,5.57526527258629,5.35852357361117,8.6920436391584,8.23968509951238,7.63059232387362,5.63769858098072,12.3259111050976,5.58676346226938,8.50581208593034,5.65302514328774
"GSM1523748",8.04712394256497,7.82883692485836,5.96319999834607,4.68664893360722,6.80223457977008,6.9696302392627,6.15694443915096,7.71973891763876,5.65499141313037,5.25668906314844,6.94560073725633,5.50442702300573,6.51811097346176,7.93489577482175,7.74986136198915,6.51697909128242,7.29246603068461,6.58881549235497,12.3872492443112,8.64159432263885,6.79551743567207,7.88473620586072,4.8789294173452,7.25671880922745,7.78182872849015,7.2284128493418,6.25548596344242,4.9993266011132,7.86445764977771,5.66820117390482,8.61892971095786,6.46705377332883,5.94318713706406,7.07256169687396,8.63397081895818,6.33228298779962,6.06976363079949,11.654477490493,8.49145355969676,6.772479368,5.76246974420811,8.0399251383626,9.59173983314066,8.96576512025273,8.44753220218829,5.29439334736672,10.5957417824648,6.27795482982001,8.34061692679231,7.46362635407092
"GSM1523765",8.16818686311124,7.53159949958051,4.85143821209873,4.41324773725898,5.82451013092322,6.74676122430076,7.87425411363175,7.19478052715006,6.16477931823496,5.33831991948481,5.61765125814447,5.5352132633459,5.16155386905846,7.09908344773748,7.34302453354414,5.76132480979801,6.6344855092242,5.87124254260999,11.2248429674209,8.8986883234816,6.58130433155003,6.99344234752841,4.13346685293607,6.23214863105777,2.77088969484288,5.51124908418451,5.48511293615545,4.9437072437507,7.02911134114095,4.86915385147098,7.85261529247405,5.17639751500052,5.01806006206081,6.74779449266577,8.77952474631696,5.69500525233858,4.4445793746472,10.9675406330708,7.2281233338185,5.58001921020161,4.61163599064318,4.13068786570338,9.23663118782149,7.81165924351156,8.32694782856125,4.93513839110292,9.9596068478532,5.98316593878196,7.59306098567511,6.47934483552432
"GSM1523768",9.09328361745112,7.85471519453094,5.54037062837588,5.26019412781712,6.89900218816767,6.7797939416126,6.29577921826093,8.14913574666776,5.72104315468215,5.56654474393721,7.43184080875102,5.65078641667846,6.22921294907345,8.37493391094539,8.60523268266088,7.20103804821625,8.67523402689029,8.39558380203935,12.0310448054014,8.25407169281129,6.59890195275377,8.50449267481452,5.2062991460626,7.992934456755,4.19081651405287,6.93132175453296,6.30595543268942,4.98799680855429,7.228920158553,6.45326391944368,8.72024830259749,6.26085617621741,7.23896470144501,7.40314703852211,8.25231672627812,6.85683683623864,6.21501463740398,11.0811655225968,8.2171980929552,7.2185337432524,5.58723944564721,7.38831044940194,9.57310996786589,9.95546036506935,8.61312373888505,5.69510564163043,10.0201399301528,6.21110738408247,8.67160622357596,7.93416142712972
"GSM1523769",8.56874655279198,8.10171739582458,7.41837467932775,5.5008545849351,7.42575017356919,6.62134662763745,6.84934289121984,8.45196187800038,5.76339565621823,5.32842900697721,6.61510719247033,5.47630463857694,6.29325701936896,8.62800050392045,8.0672931131317,7.72299835710008,8.08806643818876,8.87726227102347,12.607396463895,8.67807651365107,7.68017599339979,8.63862185791819,5.21236339760296,8.07057349828926,5.44224614847832,8.04551603369324,6.17093934890507,5.31283024831188,7.38790631236158,5.80889642305386,7.94523358281541,5.91558669511376,6.30524583447687,7.44998535773274,8.3602088420585,6.08649609491,5.43596462092181,11.5552690025887,8.51316269534523,7.63427591283105,5.60210652638935,7.31898705765111,10.2114671659162,9.7521942366349,8.52435328862537,5.36991784388238,11.4912512595057,5.7188447306946,9.61478258927575,8.00916328661835
"GSM1523770",8.31350579338221,7.98231413838304,9.71064499487708,4.2830726640914,7.34967772584291,5.32843731080359,4.57521863208683,5.96367401733369,6.36294058952628,5.19579155213077,5.39703748616965,5.65153394325567,5.16220380635059,9.4059739225919,6.90217852766319,6.66637882171883,7.07528072694244,10.0234568408401,13.2027129198302,8.13076076706273,7.3668760875791,9.31411097509201,6.16137658905919,5.85726341053933,3.20369473405129,5.4752870651112,4.72610692898442,5.83648173226523,6.85328931756847,5.23976590363415,7.76870275516174,4.00216134996469,4.72494021781334,6.75124890810593,9.51375842151229,5.25818211549876,4.14741764293735,10.9822931875957,8.67785687383861,6.28005770611146,4.25435859931371,5.00230427728945,11.5763722541608,8.26292533432791,7.68056481323068,4.70001925338238,11.9839459475313,5.73139931335154,10.2297100540866,5.97355769095288
"GSM1523771",9.56368521033611,8.80240777546176,7.06209943842818,5.97831102339401,7.34209440968011,8.14906629647273,8.70945599261121,6.8209837077009,5.25757784144817,6.0735828764254,10.3181804276016,5.23924737530556,7.36921041564005,8.54849585678612,10.3995762886594,6.78587705410544,9.48908221910398,7.59264339455222,12.7712015572273,7.89016497910446,7.55767203785421,8.5664310950254,5.23870996362587,9.12849887747774,8.58843989562068,9.10316112673593,8.6045253477515,5.2032766700837,8.00465875533437,6.97911592918836,7.46403507771906,8.53495408426629,8.1549049836894,8.60100530897533,8.51833203660661,9.74357031921117,8.85562074962997,12.2839492401143,10.1962806009935,8.03138312530824,7.55563261424116,9.31750968977379,9.88710028158523,10.2287177025204,9.99759128712287,6.65627558130182,11.7840687911854,5.39451492917449,8.97297726192813,9.78118700341879
"GSM1523772",9.70269650598106,7.98335634558713,7.16269745168456,5.09128305252924,7.66674705113815,7.25873703808893,7.76730181066987,8.17823056347125,5.61566925518383,5.50097231309824,9.57519496448644,5.45764746740806,6.59951185860136,8.14006771630137,9.56291178016552,6.25257887958256,7.89071487913057,6.70736276507599,12.01096982394,8.08043217974772,7.11731702284683,8.8041936114349,4.58041899786387,8.49350706548054,6.54940679544606,8.46049003851022,8.06860461524966,5.34661446604208,7.70272274011175,6.38658551342208,8.49579515676313,7.82825055705441,7.30425318579331,7.9311157969427,8.33624324377113,9.30066332325927,7.59443509961192,10.9685000681651,9.30519909666786,7.74177412368341,6.69779204220031,7.96681174769008,9.98771420764857,10.0231619700387,9.56673707734326,5.98313846099816,11.4531143871919,6.29663719131073,9.32407071596228,9.44104482570792
"GSM1523773",9.48686866980406,8.16779400977805,6.70698780810145,5.39351792349544,7.02085424815215,7.56705496685147,8.24964704198704,7.85485250779113,5.19507985206437,6.05093746000651,9.39514024005873,5.42496630397106,7.53098345708025,8.16121808681857,9.8843201011164,6.38924511267154,8.52061885162637,7.08017782767253,12.6271432626973,8.37935819163828,7.07326685351037,8.30730277593261,4.55191968730719,9.39355382907295,8.35349611439838,8.80057512413099,8.25350502364662,5.18672977918196,8.59729361444203,6.93646610506083,8.30477003538004,7.98263550740634,7.81733440675611,7.63613082708813,8.72273652993502,9.39372148629566,8.44468756493118,12.1154351967217,9.9001246308502,7.63182753614028,6.60570250740793,9.16733498208569,9.60217452937767,10.1993145789221,9.65700466770021,6.76432999538294,10.2073213332338,5.74392840006479,8.62359267418705,9.68470509452688
"GSM1523774",8.75823376710344,7.6266797683137,6.55861778129612,5.46114895314651,6.3031051454742,7.53072256343707,7.8487019706514,7.52870993030554,5.39992444576406,5.95796121138049,9.13562255687677,5.51889940691333,6.72337800239455,7.72740792110504,9.50901854560268,5.9411251741261,7.57096658400901,6.54037233671182,12.008390874345,8.44970280934769,7.06241544626109,8.15884562928294,5.18580178333175,8.0696936944378,8.79130101294316,8.16676097330062,7.98775917564955,4.93042782697719,8.72286851563208,6.95917438208547,7.639939095488,8.00470109611653,8.50006965386924,7.93108641577882,8.76504624393703,9.07721427885376,8.49719155202613,11.6548076574657,9.47631863693582,6.52523049358816,6.95678348754155,8.74309854274314,9.01735036766089,9.19488250169592,9.63352678898265,6.20177221009115,9.77728367724748,5.86720583982841,7.89880063906421,8.60397807090697
"GSM1523775",8.45777751343821,6.98871011326114,5.54403915051554,4.35296257262533,6.00140080866704,5.55623893074,7.1025377921346,7.18696164093035,6.35408220443687,4.97231282663346,5.7345983206096,5.82916381189274,4.96916435009904,9.01027796804044,6.84136788723269,6.26015461855328,7.73313831823046,7.2593814597036,11.4930504752633,8.67806387143575,6.33081601861629,8.02857790889978,4.70795288412723,6.37158540039463,3.98244439278769,6.03551433471665,5.33961573387273,4.9350279047676,6.63803169209412,5.27934033253138,8.9183066688087,4.69821350199448,4.94001100635243,6.44433788445243,8.38130088654752,5.75538370049014,4.57451562436892,10.9288602668689,7.93813054489566,5.91426980012553,6.50403625590312,9.92009179798503,9.14520391106395,8.58761413400345,8.58206607569519,4.30902575292258,9.43921752281663,6.46130548454919,8.65827201871629,6.86039372243072
